年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1963/1/1,3,8.6,-0.7
1963/1/2,4.1,9.6,-0.8
1963/1/3,5.3,9.4,0.8
1963/1/4,5.2,8.8,2.5
1963/1/5,4.7,10.4,-0.3
1963/1/6,2.6,6.1,0
1963/1/7,5.3,8.7,0.8
1963/1/8,4.1,7.9,2.3
1963/1/9,2.9,7.4,-2.3
1963/1/10,5.4,9.7,1
1963/1/11,3.6,6.3,3
1963/1/12,0.8,4.2,-0.2
1963/1/13,1.3,5.3,-1.8
1963/1/14,4.2,9.1,-0.2
1963/1/15,0.6,4,0.4
1963/1/16,0.4,4.2,-4.4
1963/1/17,2.9,7.8,-1
1963/1/18,7.3,13,0.5
1963/1/19,1.6,6.3,-0.8
1963/1/20,5.1,10,-0.3
1963/1/21,2,8,0.3
1963/1/22,0.9,5.6,-3.9
1963/1/23,-2.1,2.6,-3.2
1963/1/24,-2.1,1.3,-4.9
1963/1/25,-0.6,3.6,-3.6
1963/1/26,0.7,4.8,-2.3
1963/1/27,2,5.7,-0.8
1963/1/28,3.4,7.8,-0.5
1963/1/29,4.6,8.4,1.8
1963/1/30,2.2,6.3,0
1963/1/31,1.4,5.4,-2.3
1963/2/1,1.6,5.2,-1.3
1963/2/2,2.7,7.1,0.1
1963/2/3,2.4,6.2,-0.2
1963/2/4,3.4,6.9,0.7
1963/2/5,4.6,8.6,1.3
1963/2/6,4.7,8.6,0.8
1963/2/7,4.4,8.5,1.1
1963/2/8,3.7,5.7,3
1963/2/9,4.1,7.9,2.3
1963/2/10,3.6,7.2,-0.3
1963/2/11,2.4,4.5,1.5
1963/2/12,3,7.1,0.4
1963/2/13,3.1,7,0.3
1963/2/14,3.2,7.8,0.6
1963/2/15,3.7,9,-2.2
1963/2/16,4.3,7.5,2
1963/2/17,3.7,6.6,0.5
1963/2/18,3.5,7.9,0.3
1963/2/19,3.7,8.1,-1.2
1963/2/20,4.2,7.8,1.2
1963/2/21,4.1,8.3,0.7
1963/2/22,5.1,10,0.6
1963/2/23,5.4,10.8,0
1963/2/24,4.3,10.1,0.2
1963/2/25,4.9,9.6,1.1
1963/2/26,4.5,12,1
1963/2/27,5.3,8.6,1.3
1963/2/28,5.5,10.8,2.6
1963/3/1,7.1,15.7,-1.4
1963/3/2,7.6,13.9,2
1963/3/3,8.6,16.3,1.8
1963/3/4,6.5,9.9,5.5
1963/3/5,4.5,8.3,2.1
1963/3/6,3.9,10,-1
1963/3/7,4.2,8.9,1.2
1963/3/8,4.8,8.7,0.6
1963/3/9,2.9,5.7,3.7
1963/3/10,4.6,6.4,1.4
1963/3/11,6.2,9.1,2.9
1963/3/12,3.1,5.7,2.2
1963/3/13,5.2,9.1,2.1
1963/3/14,6.5,11.7,2.7
1963/3/15,8.4,12.9,1.5
1963/3/16,10.5,13,7
1963/3/17,8.2,11.6,7.1
1963/3/18,7.3,12.2,1.5
1963/3/19,10.2,14.6,6.4
1963/3/20,10.7,16.4,3.5
1963/3/21,11.9,18.6,6
1963/3/22,10.3,14.8,8.2
1963/3/23,11.7,17.1,4.7
1963/3/24,7.4,12.7,6.7
1963/3/25,8.2,13.8,4
1963/3/26,8.9,15.6,2.9
1963/3/27,9.8,16.7,2.9
1963/3/28,13.4,18.1,4.2
1963/3/29,8.3,15.1,9
1963/3/30,5.7,10.7,0.9
1963/3/31,10.9,20.2,1.7
1963/4/1,14.5,22.4,6.2
1963/4/2,8.9,13.6,7.2
1963/4/3,8.9,16.4,0.5
1963/4/4,12.4,18.4,5.5
1963/4/5,14,19.2,9
1963/4/6,16.9,23.8,10.4
1963/4/7,9.8,15.1,9.1
1963/4/8,10.5,14.8,7.4
1963/4/9,8.1,12.5,6.2
1963/4/10,8.1,13.3,3.9
1963/4/11,10.1,16.2,1.8
1963/4/12,13,18.4,6
1963/4/13,14.6,16.7,12.3
1963/4/14,16.3,20.5,12.8
1963/4/15,15,16.8,14.2
1963/4/16,17.5,20.4,13.7
1963/4/17,17.8,24,14.2
1963/4/18,18.3,26.2,15
1963/4/19,13.9,17.4,12.5
1963/4/20,13.1,17.3,7.2
1963/4/21,13.2,14.3,11.4
1963/4/22,14.6,16.1,11.6
1963/4/23,14.5,16.3,13.5
1963/4/24,14.5,16.2,12.8
1963/4/25,14.1,17.4,12.3
1963/4/26,14.3,20,9.2
1963/4/27,14.5,20.5,6
1963/4/28,16.7,20.4,14
1963/4/29,19.4,23.6,15.4
1963/4/30,17.5,20.3,15.8
1963/5/1,16.3,19.7,16.1
1963/5/2,14.5,20.9,11.2
1963/5/3,14.6,19.8,8.6
1963/5/4,15.1,17,13.3
1963/5/5,17.3,19.8,13.8
1963/5/6,17.8,21.4,17
1963/5/7,18.6,23.6,15
1963/5/8,18.3,21.4,15.2
1963/5/9,18.1,21.7,17.3
1963/5/10,15.6,18.2,15.2
1963/5/11,14.7,15.7,14.1
1963/5/12,16.6,19.2,13.4
1963/5/13,20.2,23.7,14.6
1963/5/14,21.7,26.1,18.6
1963/5/15,19.5,22.1,19.2
1963/5/16,18.8,20.8,17.4
1963/5/17,19.5,21.9,17.8
1963/5/18,22.3,26.4,18.7
1963/5/19,21.4,25.1,18.4
1963/5/20,21.9,25.3,19.6
1963/5/21,20.7,22.9,19.6
1963/5/22,21.5,23.2,19.7
1963/5/23,20.5,24.7,19
1963/5/24,19.6,22.6,15.2
1963/5/25,17.7,23.8,18
1963/5/26,19.1,25.2,13.2
1963/5/27,22,27,16.7
1963/5/28,21.3,23.9,19.9
1963/5/29,21.1,23.5,19.6
1963/5/30,23.7,28.7,19.3
1963/5/31,23.4,25.9,21.8
1963/6/1,22.2,26,20.1
1963/6/2,21.6,25.3,18.9
1963/6/3,21.4,24.5,18.9
1963/6/4,22.5,25.2,19
1963/6/5,20.9,24.7,18.9
1963/6/6,17.7,20.7,16.8
1963/6/7,20.2,24.2,16.8
1963/6/8,21.7,25,18.8
1963/6/9,22.8,25.4,20.2
1963/6/10,20,22.6,18.5
1963/6/11,21.1,23.9,18.9
1963/6/12,19.7,21,19.3
1963/6/13,19.9,25,18.1
1963/6/14,22.3,25.5,20.4
1963/6/15,19.9,23.4,17.4
1963/6/16,20,23.8,17.5
1963/6/17,22.7,27.1,19.3
1963/6/18,24,27.5,20.8
1963/6/19,24.7,28.5,21.6
1963/6/20,25.9,28.4,23.6
1963/6/21,24.7,28,23.3
1963/6/22,25.7,30.4,23.1
1963/6/23,25,28.5,23
1963/6/24,25.5,29.9,23.2
1963/6/25,27.5,32.8,23.9
1963/6/26,26.8,34.6,23.1
1963/6/27,25.7,30.1,21.8
1963/6/28,26.8,30.9,23.8
1963/6/29,27,33.7,23.5
1963/6/30,23.3,29.4,23.8
1963/7/1,23.9,28.9,20.8
1963/7/2,22.9,23.4,22.9
1963/7/3,25,29,21.3
1963/7/4,25.7,28.2,22.8
1963/7/5,24.3,27.1,23.9
1963/7/6,24.2,27.5,21.6
1963/7/7,25.3,29.5,21.5
1963/7/8,27.6,31,21.9
1963/7/9,27.7,32.2,24.9
1963/7/10,25.3,27.7,22.2
1963/7/11,25.7,28.4,23.9
1963/7/12,24.7,26.8,22.6
1963/7/13,26.5,30.1,23.8
1963/7/14,27.6,31.1,25
1963/7/15,27,29.8,25.2
1963/7/16,27.1,30.3,24.6
1963/7/17,28.4,32,25.2
1963/7/18,28.8,34,25.8
1963/7/19,28.6,33.3,25.2
1963/7/20,28.7,33.2,25.4
1963/7/21,28.6,32.1,25.3
1963/7/22,27.2,32.3,24.7
1963/7/23,26.5,30.1,23.2
1963/7/24,26.6,29.9,23.7
1963/7/25,27,30.4,23.7
1963/7/26,28.5,33.4,24
1963/7/27,28.7,31.1,26.9
1963/7/28,26.8,30.8,25.4
1963/7/29,27.3,31.7,23.5
1963/7/30,27.2,30.7,23.3
1963/7/31,27,32.5,21.8
1963/8/1,27.6,31.5,24.3
1963/8/2,27.5,31.5,23.8
1963/8/3,26.8,29.7,24.9
1963/8/4,25.9,29.8,22.8
1963/8/5,26.1,30.4,21.7
1963/8/6,27.4,31.7,23
1963/8/7,27.9,31.7,24.6
1963/8/8,25.8,29.6,25.1
1963/8/9,26.3,28.8,24.1
1963/8/10,26.4,27.6,25.7
1963/8/11,26.6,29.1,24.8
1963/8/12,27.5,32.8,25
1963/8/13,26.6,30.8,22.7
1963/8/14,27.6,31.6,24.4
1963/8/15,27.1,30.2,24.8
1963/8/16,25.6,28.5,23.4
1963/8/17,25.8,29.2,23.6
1963/8/18,25.7,27.8,24.5
1963/8/19,27.3,31.6,24.3
1963/8/20,26.7,30.5,23.2
1963/8/21,26.3,29.1,24.1
1963/8/22,26.7,30.2,25.1
1963/8/23,27.4,31,23.6
1963/8/24,27,30.5,24
1963/8/25,25.4,29.4,24.5
1963/8/26,25.7,29.3,22.9
1963/8/27,26.1,28.9,22.8
1963/8/28,25.3,28.6,23.5
1963/8/29,25.9,29.4,23.1
1963/8/30,25.5,28.7,23.9
1963/8/31,26.9,31.2,24.2
1963/9/1,25.4,29.4,21.4
1963/9/2,26.9,31.2,22.8
1963/9/3,25.1,30.7,22.2
1963/9/4,24.1,29.6,19.8
1963/9/5,24.4,29.2,18.9
1963/9/6,23.7,27.3,23.2
1963/9/7,24,28.2,20.8
1963/9/8,24.2,27.8,20.4
1963/9/9,23.1,24.1,22.7
1963/9/10,24.7,27.4,22.5
1963/9/11,22.9,24.3,23.1
1963/9/12,22.9,26.5,20.5
1963/9/13,22.1,23.3,21.8
1963/9/14,22.6,26.2,20.7
1963/9/15,22.6,26.4,18.5
1963/9/16,23.9,25.9,21.5
1963/9/17,22.1,25.9,19.2
1963/9/18,22,27.6,17.5
1963/9/19,20.8,25.7,16.5
1963/9/20,20.6,24.6,15.3
1963/9/21,19.9,22.2,18.5
1963/9/22,20.3,24.4,16.5
1963/9/23,19.2,23.7,16.3
1963/9/24,19.6,22.6,14.4
1963/9/25,20.9,22.6,19.1
1963/9/26,20.4,26.2,16.3
1963/9/27,20.8,25.3,16.6
1963/9/28,20.6,24.6,17.1
1963/9/29,20.7,25.4,17
1963/9/30,20.1,23.6,16.6
1963/10/1,20.9,22.8,18.8
1963/10/2,19.5,23.3,17.6
1963/10/3,17.4,22.5,13
1963/10/4,18.7,24.1,13.9
1963/10/5,18.8,23,15.6
1963/10/6,17.9,21.3,15.1
1963/10/7,18.8,23.2,15.3
1963/10/8,17.5,21.7,12.9
1963/10/9,16.8,18.3,15
1963/10/10,19.8,24.4,16
1963/10/11,17.6,21.5,14.5
1963/10/12,16.4,20.9,13.4
1963/10/13,17.5,24.6,10.3
1963/10/14,20.2,23.9,15.6
1963/10/15,20.3,23,17.7
1963/10/16,22.4,25.8,18.5
1963/10/17,18.8,23.2,18.4
1963/10/18,14.8,18.6,13.4
1963/10/19,15.1,18.5,12.9
1963/10/20,15.2,17.7,13.2
1963/10/21,14.8,19.1,12.2
1963/10/22,15.5,20.3,11
1963/10/23,15,18.9,12.1
1963/10/24,16.6,20.1,11.8
1963/10/25,18.6,20.9,15.3
1963/10/26,17.6,20,15.8
1963/10/27,17.6,20.5,16.8
1963/10/28,15.4,19.5,11.3
1963/10/29,16,19.8,13.6
1963/10/30,16.6,20,13.7
1963/10/31,16,20.6,12.7
1963/11/1,14.2,19.3,11.4
1963/11/2,14.3,19.5,8.6
1963/11/3,14.6,18.3,11.2
1963/11/4,14.2,20.5,10.7
1963/11/5,14.1,18.5,9.9
1963/11/6,14.5,20.8,8.6
1963/11/7,17.5,21.6,13.2
1963/11/8,16.5,22,13.7
1963/11/9,11.8,14.7,10
1963/11/10,10.2,13.8,7.8
1963/11/11,12.7,17.3,6.7
1963/11/12,14.5,19.6,9.7
1963/11/13,13.8,18.8,11
1963/11/14,13.9,19.5,9.6
1963/11/15,11.4,14.9,10.1
1963/11/16,11.8,15.1,9.6
1963/11/17,10.5,16,7.1
1963/11/18,10.6,14.2,6
1963/11/19,13.8,16.9,10
1963/11/20,15.1,18.9,12.6
1963/11/21,12.8,18.5,9.2
1963/11/22,13,18.9,7.2
1963/11/23,12.6,15.3,10.4
1963/11/24,10,14,5.9
1963/11/25,12.1,15.1,8.8
1963/11/26,10.9,13.4,10
1963/11/27,9.6,13.9,6.6
1963/11/28,10.1,16.1,4
1963/11/29,9.5,12.3,8.1
1963/11/30,6.2,9.7,3.3
1963/12/1,6.5,10.6,1.4
1963/12/2,8.1,13,1.4
1963/12/3,10.1,11,5.2
1963/12/4,11,13.3,9.1
1963/12/5,11,15.7,6.1
1963/12/6,9.3,13.7,7.2
1963/12/7,10,16.6,3.4
1963/12/8,12.6,18.2,8
1963/12/9,8.2,12.8,6.7
1963/12/10,7,9.3,3.3
1963/12/11,9.7,12.6,5.9
1963/12/12,9.3,13,5.6
1963/12/13,8.6,13.2,5.3
1963/12/14,8.3,14.2,3.2
1963/12/15,9.5,12.6,6.8
1963/12/16,6.5,10.5,2.3
1963/12/17,8.7,13.4,2.8
1963/12/18,8.7,13,5.9
1963/12/19,6.6,10.8,3.8
1963/12/20,7.2,11.4,3.8
1963/12/21,6.2,12.3,1.7
1963/12/22,6.6,10.6,2.7
1963/12/23,9.3,15,2.1
1963/12/24,12,15.4,5.5
1963/12/25,11.8,15.4,10.1
1963/12/26,6.8,12.6,8.2
1963/12/27,3.2,6.5,1.2
1963/12/28,3.9,8.5,0.9
1963/12/29,5.2,11.3,-0.8
1963/12/30,8.7,10.8,0.9
1963/12/31,7.6,12.9,3.3
1964/1/1,7.8,10.1,6.4
1964/1/2,7.7,10.6,6.4
1964/1/3,8.3,13.8,5
1964/1/4,5.2,7.2,2.7
1964/1/5,4.8,9,0.4
1964/1/6,7.5,12.2,3.7
1964/1/7,8.3,13.1,4
1964/1/8,7.9,10.9,5.6
1964/1/9,6.2,9.7,4.2
1964/1/10,5.5,8.8,3.2
1964/1/11,6.3,10.2,1.9
1964/1/12,11.8,17.2,4.6
1964/1/13,14.1,16.7,13
1964/1/14,9.8,14.6,7
1964/1/15,6.5,9.1,4.8
1964/1/16,6.4,9.7,2.6
1964/1/17,7.6,8.8,6.4
1964/1/18,8.3,12.3,5.5
1964/1/19,3.5,6.3,1.3
1964/1/20,3.2,6.9,0.2
1964/1/21,5.3,8.7,0.7
1964/1/22,6.5,9.6,2.5
1964/1/23,6.9,9.5,5.2
1964/1/24,5.2,7.3,3.5
1964/1/25,5.9,9.6,3.7
1964/1/26,5.3,8.4,3
1964/1/27,4.7,7.4,2.4
1964/1/28,6.4,9,3.2
1964/1/29,8.1,11.6,5.3
1964/1/30,6.6,9.9,2.3
1964/1/31,6.2,9.6,4.1
1964/2/1,3.5,7.7,1.3
1964/2/2,2.8,6.1,0.7
1964/2/3,2.9,6.4,-0.4
1964/2/4,3.6,5.7,1.4
1964/2/5,2.7,6.3,-0.2
1964/2/6,3.4,6.9,-1.3
1964/2/7,7.6,11.2,4.4
1964/2/8,7.4,9.1,6.6
1964/2/9,8.5,10.3,6.5
1964/2/10,8.7,12.1,7
1964/2/11,5.8,12.4,1.7
1964/2/12,2,5.5,-0.1
1964/2/13,2.1,4.9,-0.6
1964/2/14,4.4,9.6,-0.3
1964/2/15,3.4,7,1.6
1964/2/16,5.2,8.9,1.7
1964/2/17,6.9,10.1,5.3
1964/2/18,2.3,5.3,1.3
1964/2/19,4.1,6.6,0
1964/2/20,5.7,7.4,4.6
1964/2/21,5.8,9.3,2.4
1964/2/22,5.3,8.7,1.6
1964/2/23,3.9,6.5,2.3
1964/2/24,1.5,3.3,0.4
1964/2/25,3,6.5,0.4
1964/2/26,3.3,6.6,0.8
1964/2/27,4.7,8.5,1.2
1964/2/28,4.3,8.7,2
1964/2/29,4.9,9.7,1.4
1964/3/1,5.6,9.7,-0.5
1964/3/2,7.7,10.9,4.7
1964/3/3,6.5,9.6,3.4
1964/3/4,7.2,8.8,5.2
1964/3/5,10.6,15.8,6.2
1964/3/6,9.1,12.5,4.8
1964/3/7,7.2,8.9,6
1964/3/8,4.7,6.8,2.9
1964/3/9,6.3,10.2,3
1964/3/10,5.7,11,0.6
1964/3/11,7,13.4,1.1
1964/3/12,7.3,11.7,3.9
1964/3/13,5.5,7.9,2.2
1964/3/14,9,13.4,5
1964/3/15,8.5,12.8,3.3
1964/3/16,10,15.2,5.6
1964/3/17,7.9,12.6,4.8
1964/3/18,5.8,10,2.8
1964/3/19,6.4,10.7,0.8
1964/3/20,12.8,16.2,8.6
1964/3/21,8.6,12.6,5.8
1964/3/22,7.9,12.2,4.9
1964/3/23,6.8,10.7,2.9
1964/3/24,6.4,9.7,2.3
1964/3/25,8.1,12.5,5.3
1964/3/26,8.9,12.5,3.2
1964/3/27,7.8,11.7,2.6
1964/3/28,7.4,12.1,2
1964/3/29,10.4,16,4.3
1964/3/30,13.1,19.2,5.4
1964/3/31,17.2,21.7,13.6
1964/4/1,17.1,20.7,15.4
1964/4/2,14.3,18.2,10.4
1964/4/3,16.7,18.3,14.2
1964/4/4,20.4,25,16.8
1964/4/5,18.7,24.4,13.6
1964/4/6,20.7,26.1,15.9
1964/4/7,12.2,20.9,8.4
1964/4/8,10.7,12.8,8.2
1964/4/9,11,12.4,10.3
1964/4/10,14.9,17.8,11.2
1964/4/11,17,19.2,15.3
1964/4/12,16.5,19.8,14.1
1964/4/13,17.5,21.4,14.1
1964/4/14,19,22.1,16.9
1964/4/15,19.7,24.9,15.2
1964/4/16,19.4,22.5,16.6
1964/4/17,19.9,25.6,17.9
1964/4/18,20.9,25.4,16.1
1964/4/19,21.5,26.1,18.3
1964/4/20,22,25.6,18.7
1964/4/21,20.2,23.4,17.8
1964/4/22,22.1,29.2,17.8
1964/4/23,19.1,23.6,16
1964/4/24,17.8,23.7,12.7
1964/4/25,16.8,19.8,14
1964/4/26,18.9,22.8,13.4
1964/4/27,15.1,19.4,12.8
1964/4/28,11.9,13.2,9.4
1964/4/29,14.6,17.6,9.8
1964/4/30,16.4,20.4,10.5
1964/5/1,17.3,20.9,15.1
1964/5/2,18.1,21.7,16
1964/5/3,17.4,21.3,14.8
1964/5/4,16.9,20.1,12.9
1964/5/5,16.2,17.1,15.4
