年月日,平均気温(℃),最高気温(℃),最低気温(℃)
1953/1/1,6.1,13.5,0.9
1953/1/2,4,7.4,1.1
1953/1/3,5.4,10,0.7
1953/1/4,3.7,6.4,1
1953/1/5,3.8,6.3,0.4
1953/1/6,6.1,9.5,3.1
1953/1/7,4.4,11.2,0.3
1953/1/8,4.3,8.4,1.7
1953/1/9,4.7,11.4,0.1
1953/1/10,6.3,15.7,-0.1
1953/1/11,8.9,15.4,0.4
1953/1/12,8.2,14.1,3.6
1953/1/13,3.8,6.9,0.9
1953/1/14,2.6,5.2,0.5
1953/1/15,2.2,5.3,0.4
1953/1/16,3.3,7.3,-0.4
1953/1/17,5,9.5,0.7
1953/1/18,4.5,7.2,3.1
1953/1/19,4.7,7.9,2
1953/1/20,5.2,10.7,-0.7
1953/1/21,7.3,10.8,4.2
1953/1/22,6.3,10,3.5
1953/1/23,4.8,7.5,2.1
1953/1/24,5.1,10.5,0
1953/1/25,7.4,13.3,-1.2
1953/1/26,8.7,11.4,6.6
1953/1/27,5.5,7.4,3.5
1953/1/28,5.9,13.3,-1
1953/1/29,4.7,7.8,1.9
1953/1/30,3.6,8.7,-0.7
1953/1/31,3.8,8,0.3
1953/2/1,3.1,7.8,-0.7
1953/2/2,3.5,8.5,-0.9
1953/2/3,4.2,9.2,0.3
1953/2/4,2.9,4.7,2
1953/2/5,4.9,8.3,2.7
1953/2/6,4.1,8.6,-1.2
1953/2/7,5.2,11.1,1.9
1953/2/8,2.6,6.7,-0.2
1953/2/9,3.1,7.8,-1.2
1953/2/10,5.2,12,-2.9
1953/2/11,8.9,16.5,5.2
1953/2/12,10,16,4.1
1953/2/13,8.8,11.6,5.3
1953/2/14,6.7,8.7,4.8
1953/2/15,7.6,13.7,1.6
1953/2/16,2.3,7.9,-0.4
1953/2/17,3.8,7.2,-0.9
1953/2/18,4,7.2,1.9
1953/2/19,4.4,7.5,0.7
1953/2/20,4.6,7.4,1.2
1953/2/21,1.8,3.9,0.5
1953/2/22,2.9,6.5,0.9
1953/2/23,3.2,6.7,-2.5
1953/2/24,6.5,11.4,1.6
1953/2/25,8.6,11,6.5
1953/2/26,8.8,12.4,7.3
1953/2/27,8,13.3,2.9
1953/2/28,11,17.7,0.7
1953/3/1,12.7,15.7,7.3
1953/3/2,13,18.3,10
1953/3/3,8.8,15.8,8
1953/3/4,6.9,10.1,4.2
1953/3/5,8,13,4.9
1953/3/6,7.4,13.5,2.6
1953/3/7,11.9,18.2,2.2
1953/3/8,10.9,15.7,4.7
1953/3/9,7.3,13.3,1.5
1953/3/10,9.8,17.3,1.5
1953/3/11,15.8,19.8,8.5
1953/3/12,9.7,17,7.5
1953/3/13,8.6,11.9,5.1
1953/3/14,9.1,12.7,4.9
1953/3/15,8.4,10.3,5.5
1953/3/16,5.9,8.7,4.6
1953/3/17,7.3,12.5,3.2
1953/3/18,9.5,16.3,2
1953/3/19,12.4,18.7,3.4
1953/3/20,17.2,22.3,10.3
1953/3/21,10.9,17.8,7.3
1953/3/22,10.4,14.7,5.2
1953/3/23,10.2,13.3,7.6
1953/3/24,10.1,14.3,5
1953/3/25,12.8,18.5,9.3
1953/3/26,8.9,13.5,5.9
1953/3/27,8.3,11.1,5.2
1953/3/28,4.3,8,0.9
1953/3/29,6.7,10.6,1.4
1953/3/30,7.8,12,4.3
1953/3/31,8,12.3,3.2
1953/4/1,8.6,11.7,4.1
1953/4/2,10.6,16.5,4.7
1953/4/3,10.5,15.4,6.5
1953/4/4,11.5,19.2,5.7
1953/4/5,11.2,15.9,6.9
1953/4/6,10.7,13.6,7.9
1953/4/7,9.8,12.7,8.1
1953/4/8,10.6,17.3,5.1
1953/4/9,14,19.4,4.7
1953/4/10,13,15.4,11.6
1953/4/11,15.6,19.7,11.8
1953/4/12,10.3,16.5,7.2
1953/4/13,9.4,16.1,3.7
1953/4/14,11.1,16.6,5.9
1953/4/15,10.1,14.4,5.9
1953/4/16,12.3,16.8,9.1
1953/4/17,9.7,14,5.5
1953/4/18,9.8,16,3.5
1953/4/19,12.5,17.8,6.7
1953/4/20,13.3,18.7,7.1
1953/4/21,14.1,17.3,9.8
1953/4/22,12.5,16.2,7.7
1953/4/23,13.2,19.1,5.9
1953/4/24,14.6,20.5,5.3
1953/4/25,12.5,18.3,5.3
1953/4/26,15.8,22,6.6
1953/4/27,17.9,23.2,12.7
1953/4/28,19.1,24.3,11.9
1953/4/29,19.9,21.5,13.8
1953/4/30,16.9,22.8,12.2
1953/5/1,12.6,15.5,9.8
1953/5/2,13.5,18.4,9.9
1953/5/3,13.9,20,6.4
1953/5/4,14.6,19,8.5
1953/5/5,16.9,20.5,13.6
1953/5/6,17.4,20.4,14.9
1953/5/7,14.6,16.2,13.4
1953/5/8,15.2,17.8,13.7
1953/5/9,18.8,25.1,12.4
1953/5/10,18.2,25,11.5
1953/5/11,19.8,23.8,13.2
1953/5/12,18.3,20.1,16.2
1953/5/13,18.4,21,16.7
1953/5/14,17.6,20.2,14.6
1953/5/15,17.8,25,12
1953/5/16,17.9,24.3,8.9
1953/5/17,17.3,22,12.4
1953/5/18,18.7,24.4,11.3
1953/5/19,20,25,16.4
1953/5/20,19.6,25.5,12.8
1953/5/21,20.1,25.7,14.4
1953/5/22,20,22.6,18.4
1953/5/23,18.9,21.4,17.7
1953/5/24,20,25.3,14.8
1953/5/25,19.7,26.7,12.1
1953/5/26,19.5,25.2,12.8
1953/5/27,20,25.3,13.9
1953/5/28,18.6,21.4,16.2
1953/5/29,19.8,23.6,16.4
1953/5/30,19.8,24.2,15.9
1953/5/31,18.2,21.2,14.2
1953/6/1,20.3,21.8,17.9
1953/6/2,19.3,22.2,17
1953/6/3,19.9,25.2,16.2
1953/6/4,20.4,24.2,15.3
1953/6/5,22.6,25.3,19.4
1953/6/6,22.9,26.2,19.9
1953/6/7,22.9,26.3,20.7
1953/6/8,21,24.1,19.4
1953/6/9,21.9,26.1,17.2
1953/6/10,21.4,24.8,18
1953/6/11,20.5,24.1,17.8
1953/6/12,22.1,26.4,17.7
1953/6/13,21.6,25.6,17.7
1953/6/14,22.1,27.2,17.2
1953/6/15,20.7,23.9,18.7
1953/6/16,22.6,29.1,16.1
1953/6/17,22.7,26.9,18.2
1953/6/18,23.6,29.3,21.1
1953/6/19,23.1,26.6,19.2
1953/6/20,21.9,23.2,21
1953/6/21,24,27.4,20.6
1953/6/22,24.6,27.4,22.4
1953/6/23,23.8,25.5,21.6
1953/6/24,23.9,27.8,21.3
1953/6/25,23.3,26.1,20
1953/6/26,21.9,23.5,20.9
1953/6/27,23.4,26.9,21.1
1953/6/28,23.5,26.2,22.2
1953/6/29,23.2,24.7,21.6
1953/6/30,23.4,25.8,21.4
1953/7/1,24.5,28.3,21
1953/7/2,25,29.3,20.4
1953/7/3,24.5,26.8,23.3
1953/7/4,25,26.7,23.3
1953/7/5,24.4,29.6,23
1953/7/6,26.1,29.6,21.6
1953/7/7,26.4,31.2,24.3
1953/7/8,26.9,30.8,24
1953/7/9,25.9,29.2,24
1953/7/10,26.2,30.3,23.2
1953/7/11,25.7,29.4,23.5
1953/7/12,25.4,29.2,22.4
1953/7/13,24.8,28.8,22.4
1953/7/14,24.5,28.8,20.4
1953/7/15,23.8,25.2,22.2
1953/7/16,25.4,27.9,22.8
1953/7/17,26.4,29.5,24.6
1953/7/18,23.9,25.2,22.7
1953/7/19,24.7,28.4,22.4
1953/7/20,25.2,28.1,22.6
1953/7/21,26,27.1,24.5
1953/7/22,26.3,28.8,24.9
1953/7/23,26.8,30.4,24.2
1953/7/24,28.2,32.6,25.2
1953/7/25,28.3,32.4,24.6
1953/7/26,28.6,32.8,22.6
1953/7/27,29,33.3,23.9
1953/7/28,28.2,32.5,25.1
1953/7/29,27.8,33.6,24
1953/7/30,27.8,33,23
1953/7/31,28.1,33.3,24.1
1953/8/1,28.1,32.3,24.6
1953/8/2,28.5,33.5,25.2
1953/8/3,26,29.9,23.4
